id,text,language,label,sub_category
1,"Contient: Lait, Soja, Blé, Œufs",fr,Allergy Labeling,allergen_warning
2,砂糖不使用,ja,Nutritional and Health Claims,health_claim
3,الربيع مياه معدنية طبيعية,ar,Product Name and Identity,brand_product
4,Mlekovita Mleko UHT 2%,pl,Product Name and Identity,brand_product
5,Tüketim Tarihi: 09/2026,tr,Sell-By / Best-Before / Expiry Dates,expiry_date
6,www.wedel.pl,pl,Emails or Website URL,contact_info
7,طعم غني وكريمي,ar,Marketing Claims,promotional_text
8,"INGREDIENTS: Wheat flour, Sugar, Palm oil, Salt, Raising agents (E500, E503), Emulsifier (E322 from soy)",en,Ingredients,ingredient_list
9,support@mondelez.com,en,Emails or Website URL,contact_info
10,客服@伊利.cn,zh,Emails or Website URL,contact_info
11,Ehrmann Almighurt Joghurt,de,Product Name and Identity,brand_product
12,"Distribué par: Carrefour SA, 93 Avenue de Paris, 91300 Massy, France",fr,Manufacturer Name and Address,manufacturer_info
13,Справедливая торговля,ru,Certifications,certification_mark
14,"Изготовитель: ПепсиКо Холдингс, Московская область",ru,Manufacturer Name and Address,manufacturer_info
15,После вскрытия хранить в холодильнике и употребить в течение 3 дней,ru,Storage Instructions,storage_guidance
16,Best Before: 09/2027,en,Sell-By / Best-Before / Expiry Dates,expiry_date
17,www.mengniu.com.cn,zh,Emails or Website URL,contact_info
18,customercare@pepsico.com,en,Emails or Website URL,contact_info
19,Zengin ve Kremsi Tat,tr,Marketing Claims,promotional_text
20,www.pingo-doce.pt,pt,Emails or Website URL,contact_info
21,Basso contenuto di grassi,it,Nutritional and Health Claims,health_claim
22,250毫升,zh,Net Quantity of Contents,weight_volume
23,无人工色素和香料,zh,Marketing Claims,promotional_text
24,Conservar em local fresco e seco,pt,Storage Instructions,storage_guidance
25,Irresistibly Smooth,en,Marketing Claims,promotional_text
26,iletisim@marka.com.tr,tr,Emails or Website URL,contact_info
27,Fonte de vitamina D,pt,Nutritional and Health Claims,health_claim
28,欧盟有机认证,zh,Certifications,certification_mark
29,e 450g,fr,Net Quantity of Contents,weight_volume
30,2 minuten verwarmen in magnetron op hoog vermogen,nl,Usage Instructions,preparation_guide
31,Kosher,it,Certifications,certification_mark
32,"Dopo l'apertura, conservare in frigorifero e consumare entro 3 giorni",it,Storage Instructions,storage_guidance
33,Validade: 06/2027,pt,Sell-By / Best-Before / Expiry Dates,expiry_date
34,Bio-Zertifiziert,de,Certifications,certification_mark
35,Adil Ticaret Sertifikalı,tr,Certifications,certification_mark
36,USE BY: 07/2026,en,Sell-By / Best-Before / Expiry Dates,expiry_date
37,내용량: 1kg,ko,Net Quantity of Contents,weight_volume
38,"Произведено на предприятии, использующем КУНЖУТ",ru,Allergy Labeling,allergen_warning
39,500 grammes ℮,fr,Net Quantity of Contents,weight_volume
40,MINDESTHALTBAR BIS: 01/2028,de,Sell-By / Best-Before / Expiry Dates,expiry_date
41,कोशर प्रमाणित,hi,Certifications,certification_mark
42,日清カップヌードル,ja,Product Name and Identity,brand_product
43,À conserver au réfrigérateur après ouverture,fr,Storage Instructions,storage_guidance
44,Toevoegen aan 200ml kokend water en roeren,nl,Usage Instructions,preparation_guide
45,"उत्पादक: ब्रिटानिया इंडस्ट्रीज, बैंगलोर, कर्नाटक",hi,Manufacturer Name and Address,manufacturer_info
46,"Após abertura, refrigerar e consumir em 3 dias",pt,Storage Instructions,storage_guidance
47,VERFALLSDATUM: 01/2027,de,Sell-By / Best-Before / Expiry Dates,expiry_date
48,PESO NETO: 1 kg,es,Net Quantity of Contents,weight_volume
49,냉동하지 마세요. 냉장 보관.,ko,Storage Instructions,storage_guidance
50,عالي الألياف,ar,Nutritional and Health Claims,health_claim
51,e 450g,it,Net Quantity of Contents,weight_volume
52,可能含有芥末,zh,Allergy Labeling,allergen_warning
53,"Typical values per 100ml: Energy 180kJ/42kcal, Fat 1.5g, Carbohydrate 5g, Sugars 5g, Protein 3.5g, Salt 0.1g",en,Nutritional Fact Label,nutrition_table
54,Certifié HACCP,fr,Certifications,certification_mark
55,200 मिली उबलते पानी में मिलाएं,hi,Usage Instructions,preparation_guide
56,"Zawiera: Mleko, Soję, Pszenicę, Jaja",pl,Allergy Labeling,allergen_warning
57,Ingrédients 100% Naturels,fr,Marketing Claims,promotional_text
58,保质期至：2027年5月,zh,Sell-By / Best-Before / Expiry Dates,expiry_date
59,Natürlich lecker,de,Marketing Claims,promotional_text
60,उपयोग की अंतिम तिथि: 12/2026,hi,Sell-By / Best-Before / Expiry Dates,expiry_date
61,www.pinar.com.tr,tr,Emails or Website URL,contact_info
62,Conservar ao abrigo da luz solar direta,pt,Storage Instructions,storage_guidance
63,contact@lactalis.fr,fr,Emails or Website URL,contact_info
64,Разогреть в микроволновке 2 минуты на максимальной мощности,ru,Usage Instructions,preparation_guide
65,Allergeni: Contiene GLUTINE,it,Allergy Labeling,allergen_warning
66,"Fabricado por Nestlé Brasil Ltda., Av. das Nações Unidas 12901, São Paulo/SP",pt,Manufacturer Name and Address,manufacturer_info
67,ISO 22000,pt,Certifications,certification_mark
68,"Produced by Mondelez International, East Hanover, NJ 07936, USA",en,Manufacturer Name and Address,manufacturer_info
69,الوزن الصافي 500 جرام,ar,Net Quantity of Contents,weight_volume
70,180°C'de 25 dakika pişirin,tr,Usage Instructions,preparation_guide
71,غني بأوميغا 3,ar,Nutritional and Health Claims,health_claim
72,संपर्क: brand.com,hi,Emails or Website URL,contact_info
73,Bez dodatku cukru,pl,Nutritional and Health Claims,health_claim
74,शुद्ध मात्रा 500 ग्राम,hi,Net Quantity of Contents,weight_volume
75,"Fabriqué par Lactalis, Avenue du Général de Gaulle, 53000 Laval, France",fr,Manufacturer Name and Address,manufacturer_info
76,生产日期：2026年8月,zh,Sell-By / Best-Before / Expiry Dates,expiry_date
77,避免阳光直射,zh,Storage Instructions,storage_guidance
78,Store below 25°C in a dry place,en,Storage Instructions,storage_guidance
79,250 ml e,fr,Net Quantity of Contents,weight_volume
80,Allergene: Enthält GLUTEN,de,Allergy Labeling,allergen_warning
81,Contiene SULFITOS,es,Allergy Labeling,allergen_warning
82,À CONSOMMER DE PRÉFÉRENCE AVANT FIN: 05/2027,fr,Sell-By / Best-Before / Expiry Dates,expiry_date
83,ISO 22000,fr,Certifications,certification_mark
84,1食分：カロリー120kcal、脂質3g、炭水化物22g、たんぱく質2g,ja,Nutritional Fact Label,nutrition_table
85,Visit us at: brand.com/products,en,Emails or Website URL,contact_info
86,2.2 lbs,en,Net Quantity of Contents,weight_volume
87,Koszer,pl,Certifications,certification_mark
88,"Confezionato da: Galbani S.p.A., Via Torquato Tasso 15, 20123 Milano",it,Manufacturer Name and Address,manufacturer_info
89,Fin: 04/2027,fr,Sell-By / Best-Before / Expiry Dates,expiry_date
90,三只松鼠每日坚果,zh,Product Name and Identity,brand_product
91,プレミアム品質,ja,Marketing Claims,promotional_text
92,製造者：明治製菓株式会社、東京都中央区京橋2-4-16,ja,Manufacturer Name and Address,manufacturer_info
93,소비기한: 07/2027,ko,Sell-By / Best-Before / Expiry Dates,expiry_date
94,Şeker ilavesi yok,tr,Nutritional and Health Claims,health_claim
