text,true_label,tier,notes
contact@nestle.com,Email,1,Regex pattern
info@unilever.co.uk,Email,1,Regex pattern
customercare@kraftfoods.com,Email,1,Regex pattern
support@pepsico.com,Email,1,Regex pattern
hello@mondelez.com,Email,1,Regex pattern
www.kelloggs.com,URL,1,Regex pattern
https://www.nestle.com/products,URL,1,Regex pattern
www.coca-cola.com,URL,1,Regex pattern
http://brand.com,URL,1,Regex pattern
www.unilever.com/contact,URL,1,Regex pattern
visit us at www.pepsico.com,URL,1,Contains URL
check www.kraftheinz.com for details,URL,1,Contains URL
more info at https://brand.com/nutrition,URL,1,Contains URL
FSSAI No: 12345678901234,License Number,1,FSSAI format
License No: 987654321,License Number,1,License format
LIC No: 123456789,License Number,1,LIC abbreviation
FSSAI Lic No: 11223344556677,License Number,1,FSSAI License
License Number: 555666777,License Number,1,Full text
Ingredients: Wheat flour sugar salt palm oil water,Ingredients,2a,Anchor present
INGREDIENTS: Sugar corn syrup gelatin natural flavors,Ingredients,2a,Anchor present
Ingredients: Milk powder cocoa butter soy lecithin,Ingredients,2a,Anchor present
Ingredients: Rice corn wheat vitamin E iron,Ingredients,2a,Anchor present
INGREDIENTS: Water tomato paste salt spices,Ingredients,2a,Anchor present
Ingredients: Peanuts vegetable oil salt,Ingredients,2a,Anchor present
Ingredients: Oats honey brown sugar cinnamon,Ingredients,2a,Anchor present
Wheat flour sugar eggs butter vanilla,Ingredients,3,No anchor - semantic
Sugar water citric acid natural flavoring,Ingredients,3,No anchor - semantic
Milk cocoa butter soy lecithin,Ingredients,3,No anchor - semantic
Rice wheat corn oats barley,Ingredients,3,No anchor - semantic
Water flour salt yeast oil,Ingredients,3,No anchor - semantic
Tomatoes onions garlic olive oil basil,Ingredients,3,No anchor - semantic
Peanuts salt,Ingredients,3,No anchor - semantic
Almonds cashews walnuts pecans,Ingredients,3,No anchor - semantic
Contains milk soy wheat,Allergen Warning,2a,Contains anchor
Contains peanuts and tree nuts,Allergen Warning,2a,Contains anchor
May contain traces of peanuts,Allergen Warning,2a,May contain anchor
May contain milk eggs soy,Allergen Warning,2a,May contain anchor
Allergens: Contains gluten milk,Allergen Warning,2a,Allergen anchor
Allergy advice: Contains fish,Allergen Warning,2a,Allergen anchor
Contains wheat eggs dairy,Allergen Warning,2a,Contains anchor
May contain traces of nuts and sesame,Allergen Warning,2a,May contain anchor
Allergen: Soy,Allergen Warning,2a,Allergen anchor
Contains shellfish,Allergen Warning,2a,Contains anchor
Contains mustard and celery,Allergen Warning,2a,Contains anchor
May contain sulphites,Allergen Warning,2a,May contain anchor
